kernel_name,layout,use_smem,M,N,run,time_ms,bw_gbps,checksum
Ar_Br_flat_row,Ar_Br,0,16384,16384,18,1.747264,3687.165,40260355806.111153
Ar_Br_flat_row,Ar_Br,0,16384,16384,19,1.745728,3690.409,40260355806.111153
Ar_Br_flat_row,Ar_Br,0,16384,16384,20,1.746240,3689.327,40260355806.111153
Ar_Br_flat_row,Ar_Br,0,16384,16384,21,1.747520,3686.625,40260355806.111153
Ar_Br_flat_row,Ar_Br,0,16384,16384,22,1.746048,3689.733,40260355806.111153
Ar_Br_flat_row,Ar_Br,0,16384,16384,23,1.746656,3688.449,40260355806.111153
Ar_Br_flat_row,Ar_Br,0,16384,16384,24,1.747808,3686.018,40260355806.111153
Ar_Br_flat_row,Ar_Br,0,16384,16384,25,1.748000,3685.613,40260355806.111153
Ar_Br_flat_row,Ar_Br,0,16384,16384,26,1.748576,3684.398,40260355806.111153
Ar_Br_flat_row,Ar_Br,0,16384,16384,27,1.750944,3679.416,40260355806.111153
Ar_Br_flat_row,Ar_Br,0,16384,16384,28,1.745984,3689.868,40260355806.111153
Ar_Br_flat_row,Ar_Br,0,16384,16384,29,1.748896,3683.724,40260355806.111153
Ar_Br_flat_row,Ar_Br,0,16384,16384,30,1.746336,3689.125,40260355806.111153
Ar_Br_flat_row,Ar_Br,0,16384,16384,31,1.747840,3685.950,40260355806.111153
Ar_Br_flat_row,Ar_Br,0,16384,16384,32,1.749920,3681.569,40260355806.111153
Ar_Br_flat_row,Ar_Br,0,16384,16384,33,1.747392,3686.895,40260355806.111153
Ar_Br_flat_row,Ar_Br,0,16384,16384,34,1.747552,3686.557,40260355806.111153
Ar_Br_flat_row,Ar_Br,0,16384,16384,35,1.746400,3688.989,40260355806.111153
Ar_Br_flat_row,Ar_Br,0,16384,16384,36,1.748704,3684.129,40260355806.111153
Ar_Br_flat_row,Ar_Br,0,16384,16384,37,1.747744,3686.153,40260355806.111153
Ar_Br_flat_row,Ar_Br,0,16384,16384,38,1.749824,3681.771,40260355806.111153
Ar_Br_flat_row,Ar_Br,0,16384,16384,39,1.747360,3686.963,40260355806.111153
Ar_Br_flat_row,Ar_Br,0,16384,16384,40,1.746848,3688.043,40260355806.111153
Ar_Br_flat_row,Ar_Br,0,16384,16384,41,1.751936,3677.332,40260355806.111153
Ar_Br_flat_row,Ar_Br,0,16384,16384,42,1.748256,3685.073,40260355806.111153
Ar_Br_flat_row,Ar_Br,0,16384,16384,43,1.751392,3678.475,40260355806.111153
Ar_Br_flat_row,Ar_Br,0,16384,16384,44,1.748160,3685.275,40260355806.111153
Ar_Br_flat_row,Ar_Br,0,16384,16384,45,1.748992,3683.522,40260355806.111153
Ar_Br_flat_row,Ar_Br,0,16384,16384,46,1.748672,3684.196,40260355806.111153
Ar_Br_flat_row,Ar_Br,0,16384,16384,47,1.748960,3683.590,40260355806.111153
Ar_Br_flat_row,Ar_Br,0,16384,16384,48,1.747264,3687.165,40260355806.111153
Ar_Br_flat_row,Ar_Br,0,16384,16384,49,1.747136,3687.435,40260355806.111153
Ar_Br_flat_row,Ar_Br,0,16384,16384,50,1.749920,3681.569,40260355806.111153
Ar_Br_flat_row,Ar_Br,0,16384,16384,51,1.750784,3679.752,40260355806.111153
Ar_Br_flat_row,Ar_Br,0,16384,16384,52,1.750656,3680.021,40260355806.111153
Ar_Br_flat_row,Ar_Br,0,16384,16384,53,1.745888,3690.071,40260355806.111153
Ar_Br_flat_row,Ar_Br,0,16384,16384,54,1.749728,3681.973,40260355806.111153
Ar_Br_flat_row,Ar_Br,0,16384,16384,55,1.748160,3685.275,40260355806.111153
Ar_Br_flat_row,Ar_Br,0,16384,16384,56,1.751392,3678.475,40260355806.111153
Ar_Br_flat_row,Ar_Br,0,16384,16384,57,1.749472,3682.512,40260355806.111153
Ar_Br_flat_row,Ar_Br,0,16384,16384,58,1.745600,3690.680,40260355806.111153
Ar_Br_flat_row,Ar_Br,0,16384,16384,59,1.747424,3686.828,40260355806.111153
Ar_Br_flat_row,Ar_Br,0,16384,16384,60,1.748320,3684.938,40260355806.111153
Ar_Br_flat_row,Ar_Br,0,16384,16384,61,1.748832,3683.859,40260355806.111153
Ar_Br_flat_row,Ar_Br,0,16384,16384,62,1.746016,3689.801,40260355806.111153
Ar_Br_flat_row,Ar_Br,0,16384,16384,63,1.749312,3682.848,40260355806.111153
Ar_Br_flat_row,Ar_Br,0,16384,16384,64,1.746208,3689.395,40260355806.111153
Ar_Br_flat_row,Ar_Br,0,16384,16384,65,1.746048,3689.733,40260355806.111153
Ar_Br_flat_row,Ar_Br,0,16384,16384,66,1.747776,3686.085,40260355806.111153
Ar_Br_flat_row,Ar_Br,0,16384,16384,67,1.746688,3688.381,40260355806.111153
Ar_Br_flat_row,Ar_Br,0,16384,16384,68,1.749312,3682.848,40260355806.111153
Ar_Br_flat_row,Ar_Br,0,16384,16384,69,1.747104,3687.503,40260355806.111153
Ar_Br_flat_row,Ar_Br,0,16384,16384,70,1.746784,3688.178,40260355806.111153
Ar_Br_flat_row,Ar_Br,0,16384,16384,71,1.745952,3689.936,40260355806.111153
Ar_Br_flat_row,Ar_Br,0,16384,16384,72,1.748128,3685.343,40260355806.111153
Ar_Br_flat_row,Ar_Br,0,16384,16384,73,1.748960,3683.590,40260355806.111153
Ar_Br_flat_row,Ar_Br,0,16384,16384,74,1.745568,3690.748,40260355806.111153
Ar_Br_flat_row,Ar_Br,0,16384,16384,75,1.750464,3680.425,40260355806.111153
Ar_Br_flat_row,Ar_Br,0,16384,16384,76,1.749152,3683.185,40260355806.111153
Ar_Br_flat_row,Ar_Br,0,16384,16384,77,1.748544,3684.466,40260355806.111153
Ar_Br_flat_row,Ar_Br,0,16384,16384,78,1.749568,3682.310,40260355806.111153
Ar_Br_flat_row,Ar_Br,0,16384,16384,79,1.749344,3682.781,40260355806.111153
Ar_Br_flat_row,Ar_Br,0,16384,16384,80,1.747072,3687.570,40260355806.111153
Ar_Br_flat_row,Ar_Br,0,16384,16384,81,1.746784,3688.178,40260355806.111153
Ar_Br_flat_row,Ar_Br,0,16384,16384,82,1.749920,3681.569,40260355806.111153
Ar_Br_flat_row,Ar_Br,0,16384,16384,83,1.750464,3680.425,40260355806.111153
Ar_Br_flat_row,Ar_Br,0,16384,16384,84,1.747072,3687.570,40260355806.111153
Ar_Br_flat_row,Ar_Br,0,16384,16384,85,1.749888,3681.636,40260355806.111153
Ar_Br_flat_row,Ar_Br,0,16384,16384,86,1.748320,3684.938,40260355806.111153
Ar_Br_flat_row,Ar_Br,0,16384,16384,87,1.749088,3683.320,40260355806.111153
Ar_Br_flat_row,Ar_Br,0,16384,16384,88,1.748160,3685.275,40260355806.111153
Ar_Br_flat_row,Ar_Br,0,16384,16384,89,1.746592,3688.584,40260355806.111153
Ar_Br_flat_row,Ar_Br,0,16384,16384,90,1.747936,3685.748,40260355806.111153
Ar_Br_flat_row,Ar_Br,0,16384,16384,91,1.748352,3684.871,40260355806.111153
