variant,blocksize,ngms,rhoc_size,nthreads,rep,time_ms
sorted_soa,1,55191,120000,96,29,13.644902
sorted_soa,1,55191,120000,96,30,13.590780
sorted_soa,1,55191,120000,96,31,13.573360
sorted_soa,1,55191,120000,96,32,13.591280
sorted_soa,1,55191,120000,96,33,13.562370
sorted_soa,1,55191,120000,96,34,13.559620
sorted_soa,1,55191,120000,96,35,13.632741
sorted_soa,1,55191,120000,96,36,13.650331
sorted_soa,1,55191,120000,96,37,13.520910
sorted_soa,1,55191,120000,96,38,13.589950
sorted_soa,1,55191,120000,96,39,13.697300
sorted_soa,1,55191,120000,96,40,13.510290
sorted_soa,1,55191,120000,96,41,13.556410
sorted_soa,1,55191,120000,96,42,13.578981
sorted_soa,1,55191,120000,96,43,13.586340
sorted_soa,1,55191,120000,96,44,13.555960
sorted_soa,1,55191,120000,96,45,13.526860
sorted_soa,1,55191,120000,96,46,13.531869
sorted_soa,1,55191,120000,96,47,13.571630
sorted_soa,1,55191,120000,96,48,13.595331
sorted_soa,1,55191,120000,96,49,13.503591
sorted_soa,1,55191,120000,96,50,13.618152
sorted_soa,1,55191,120000,96,51,13.629610
sorted_soa,1,55191,120000,96,52,13.675110
sorted_soa,1,55191,120000,96,53,13.583240
sorted_soa,1,55191,120000,96,54,13.936782
sorted_soa,1,55191,120000,96,55,13.808102
sorted_soa,1,55191,120000,96,56,14.081034
sorted_soa,1,55191,120000,96,57,13.534931
sorted_soa,1,55191,120000,96,58,13.589170
