backend,variant,nlev,nproma,cell_dist,config_label,TX,TY,BX,BY,run_id,time_ms
gpu,1,90,81920,uniform,2x1_128x1,2,1,128,1,77,0.635204
gpu,1,90,81920,uniform,2x1_128x1,2,1,128,1,78,0.637524
gpu,1,90,81920,uniform,2x1_128x1,2,1,128,1,79,0.613643
gpu,1,90,81920,uniform,2x1_128x1,2,1,128,1,80,0.629164
gpu,1,90,81920,uniform,2x1_128x1,2,1,128,1,81,0.632764
gpu,1,90,81920,uniform,2x1_128x1,2,1,128,1,82,0.637564
gpu,1,90,81920,uniform,2x1_128x1,2,1,128,1,83,0.643724
gpu,1,90,81920,uniform,2x1_128x1,2,1,128,1,84,0.630044
gpu,1,90,81920,uniform,2x1_128x1,2,1,128,1,85,0.632604
gpu,1,90,81920,uniform,2x1_128x1,2,1,128,1,86,0.622884
gpu,1,90,81920,uniform,2x1_128x1,2,1,128,1,87,0.640324
gpu,1,90,81920,uniform,2x1_128x1,2,1,128,1,88,0.636284
gpu,1,90,81920,uniform,2x1_128x1,2,1,128,1,89,0.628404
gpu,1,90,81920,uniform,2x1_128x1,2,1,128,1,90,0.630324
gpu,1,90,81920,uniform,2x1_128x1,2,1,128,1,91,0.643204
gpu,1,90,81920,uniform,2x1_128x1,2,1,128,1,92,0.619284
gpu,1,90,81920,uniform,2x1_128x1,2,1,128,1,93,0.642404
gpu,1,90,81920,uniform,2x1_128x1,2,1,128,1,94,0.628924
gpu,1,90,81920,uniform,2x1_128x1,2,1,128,1,95,0.615003
gpu,1,90,81920,uniform,2x1_128x1,2,1,128,1,96,0.639244
gpu,1,90,81920,uniform,2x1_128x1,2,1,128,1,97,0.630804
gpu,1,90,81920,uniform,2x1_128x1,2,1,128,1,98,0.625444
gpu,1,90,81920,uniform,2x1_128x1,2,1,128,1,99,0.633004
gpu,1,90,81920,uniform,4x1_128x1,4,1,128,1,0,0.955486
gpu,1,90,81920,uniform,4x1_128x1,4,1,128,1,1,0.982926
gpu,1,90,81920,uniform,4x1_128x1,4,1,128,1,2,0.970286
gpu,1,90,81920,uniform,4x1_128x1,4,1,128,1,3,0.951766
gpu,1,90,81920,uniform,4x1_128x1,4,1,128,1,4,0.942686
gpu,1,90,81920,uniform,4x1_128x1,4,1,128,1,5,0.948606
gpu,1,90,81920,uniform,4x1_128x1,4,1,128,1,6,0.942486
gpu,1,90,81920,uniform,4x1_128x1,4,1,128,1,7,0.965526
gpu,1,90,81920,uniform,4x1_128x1,4,1,128,1,8,0.965006
gpu,1,90,81920,uniform,4x1_128x1,4,1,128,1,9,0.949966
gpu,1,90,81920,uniform,4x1_128x1,4,1,128,1,10,0.975686
gpu,1,90,81920,uniform,4x1_128x1,4,1,128,1,11,0.934286
gpu,1,90,81920,uniform,4x1_128x1,4,1,128,1,12,0.953806
gpu,1,90,81920,uniform,4x1_128x1,4,1,128,1,13,0.944046
gpu,1,90,81920,uniform,4x1_128x1,4,1,128,1,14,0.959526
gpu,1,90,81920,uniform,4x1_128x1,4,1,128,1,15,0.940366
gpu,1,90,81920,uniform,4x1_128x1,4,1,128,1,16,0.949166
gpu,1,90,81920,uniform,4x1_128x1,4,1,128,1,17,0.936846
gpu,1,90,81920,uniform,4x1_128x1,4,1,128,1,18,0.938886
gpu,1,90,81920,uniform,4x1_128x1,4,1,128,1,19,0.971006
gpu,1,90,81920,uniform,4x1_128x1,4,1,128,1,20,0.966126
gpu,1,90,81920,uniform,4x1_128x1,4,1,128,1,21,0.942486
gpu,1,90,81920,uniform,4x1_128x1,4,1,128,1,22,0.946966
gpu,1,90,81920,uniform,4x1_128x1,4,1,128,1,23,0.944246
gpu,1,90,81920,uniform,4x1_128x1,4,1,128,1,24,0.955806
gpu,1,90,81920,uniform,4x1_128x1,4,1,128,1,25,0.937046
gpu,1,90,81920,uniform,4x1_128x1,4,1,128,1,26,0.957646
gpu,1,90,81920,uniform,4x1_128x1,4,1,128,1,27,0.953406
gpu,1,90,81920,uniform,4x1_128x1,4,1,128,1,28,0.965566
gpu,1,90,81920,uniform,4x1_128x1,4,1,128,1,29,0.952006
gpu,1,90,81920,uniform,4x1_128x1,4,1,128,1,30,0.964726
gpu,1,90,81920,uniform,4x1_128x1,4,1,128,1,31,0.953766
gpu,1,90,81920,uniform,4x1_128x1,4,1,128,1,32,0.965006
gpu,1,90,81920,uniform,4x1_128x1,4,1,128,1,33,0.958846
gpu,1,90,81920,uniform,4x1_128x1,4,1,128,1,34,0.948966
gpu,1,90,81920,uniform,4x1_128x1,4,1,128,1,35,0.943566
gpu,1,90,81920,uniform,4x1_128x1,4,1,128,1,36,0.978486
gpu,1,90,81920,uniform,4x1_128x1,4,1,128,1,37,0.922206
gpu,1,90,81920,uniform,4x1_128x1,4,1,128,1,38,0.957166
gpu,1,90,81920,uniform,4x1_128x1,4,1,128,1,39,0.938486
gpu,1,90,81920,uniform,4x1_128x1,4,1,128,1,40,0.947566
gpu,1,90,81920,uniform,4x1_128x1,4,1,128,1,41,0.961126
gpu,1,90,81920,uniform,4x1_128x1,4,1,128,1,42,0.963446
gpu,1,90,81920,uniform,4x1_128x1,4,1,128,1,43,0.940886
gpu,1,90,81920,uniform,4x1_128x1,4,1,128,1,44,0.954526
gpu,1,90,81920,uniform,4x1_128x1,4,1,128,1,45,0.943646
gpu,1,90,81920,uniform,4x1_128x1,4,1,128,1,46,0.934806
gpu,1,90,81920,uniform,4x1_128x1,4,1,128,1,47,0.941886
gpu,1,90,81920,uniform,4x1_128x1,4,1,128,1,48,0.964286
gpu,1,90,81920,uniform,4x1_128x1,4,1,128,1,49,0.954446
gpu,1,90,81920,uniform,4x1_128x1,4,1,128,1,50,0.958726
gpu,1,90,81920,uniform,4x1_128x1,4,1,128,1,51,0.956246
gpu,1,90,81920,uniform,4x1_128x1,4,1,128,1,52,0.952606
gpu,1,90,81920,uniform,4x1_128x1,4,1,128,1,53,0.959646
gpu,1,90,81920,uniform,4x1_128x1,4,1,128,1,54,0.947846
gpu,1,90,81920,uniform,4x1_128x1,4,1,128,1,55,0.960446
gpu,1,90,81920,uniform,4x1_128x1,4,1,128,1,56,0.949686
gpu,1,90,81920,uniform,4x1_128x1,4,1,128,1,57,0.956806
gpu,1,90,81920,uniform,4x1_128x1,4,1,128,1,58,0.967326
gpu,1,90,81920,uniform,4x1_128x1,4,1,128,1,59,0.944726
gpu,1,90,81920,uniform,4x1_128x1,4,1,128,1,60,0.951606
gpu,1,90,81920,uniform,4x1_128x1,4,1,128,1,61,0.930046
