target,block_bytes,vec_width,variant,schedule,loop_order,dist,T,mu,delta,sigma,delta_max,mu_delta_max,beta,alpha,gamma,P_NUMA
CPU_scalar,64,1,V4,omp_for,klev_first,normal4,7864320,0.867694,586.791374,7450.575309,3008.659450,22587.831974,64,0.1600,2.0000,4
CPU_AVX512,64,8,V4,omp_for,klev_first,sequential,983040,6.052083,5373.129281,59782.281263,24170.678553,160061.009654,64,0.1600,2.0000,4
GPU_halfw,128,16,V4,omp_for,klev_first,sequential,491520,6.052083,5534.049414,59782.025151,24170.665356,152563.499035,64,0.1600,2.0000,4
GPU_scalar,128,1,V4,omp_for,klev_first,normal4,7864320,0.433847,301.496343,3725.261029,1504.328879,10830.186491,64,0.1600,2.0000,4
GPU_warp32,128,32,V4,omp_for,klev_first,sequential,245760,12.104167,11182.199968,239122.181592,48341.277909,595174.346906,64,0.1600,2.0000,4
CPU_NEON,64,2,V4,omp_for,klev_first,sequential,3932160,1.513021,1343.282320,14945.570316,6042.669638,40015.252414,64,0.1600,2.0000,4
CPU_scalar,64,1,V4,omp_for,klev_first,sequential,7864320,0.756510,671.641160,7472.785158,3021.334819,20007.626207,64,0.1600,2.0000,4
GPU_scalar,128,1,V4,omp_for,klev_first,sequential,7864320,0.378255,345.878088,3736.376572,1510.666585,9535.218690,64,0.1600,2.0000,4
CPU_scalar,64,1,V4,omp_collapse2,klon_first,uniform,7864320,7.624927,110940.645121,819498.881047,388365.116705,2961934.116132,64,0.1600,2.0000,4
CPU_NEON,64,2,V4,omp_collapse2,klon_first,uniform,3932160,15.249585,61360.892009,919738.743780,283310.309984,4320578.355230,64,0.1600,2.0000,4
CPU_AVX512,64,8,V4,omp_collapse2,klon_first,uniform,983040,60.992969,16075.140395,980483.932002,113508.022262,6923222.893111,64,0.1600,2.0000,4
GPU_scalar,128,1,V4,omp_collapse2,klon_first,uniform,7864320,7.312427,57014.560148,478045.548129,194182.558353,1419692.942468,64,0.1600,2.0000,4
GPU_halfw,128,16,V4,omp_collapse2,klon_first,uniform,491520,116.969727,4257.199998,581186.068603,33571.310547,3926843.077734,64,0.1600,2.0000,4
CPU_NEON,64,2,V4,omp_collapse2,klon_first,normal1,3932160,13.224686,35644.487652,459296.640160,217883.410766,2883689.566168,64,0.1600,2.0000,4
CPU_scalar,64,1,V4,omp_collapse2,klon_first,normal1,7864320,6.923683,61927.285029,408846.809200,288852.897320,1998985.240771,64,0.1600,2.0000,4
GPU_warp32,128,32,V4,omp_collapse2,klon_first,uniform,245760,233.891797,2209.669842,603037.905393,19299.110156,4513875.867188,64,0.1600,2.0000,4
CPU_AVX512,64,8,V4,omp_collapse2,klon_first,normal1,983040,52.232642,9410.010544,491282.850421,92823.745308,4847710.844312,64,0.1600,2.0000,4
