backend,variant,nlev,nproma,cell_dist,blocking,parallelization,run_id,time_ms
cpu,2,90,81920,uniform,0,omp_for,41,2.140285000
cpu,2,90,81920,uniform,0,omp_for,42,2.135605000
cpu,2,90,81920,uniform,0,omp_for,43,2.087185000
cpu,2,90,81920,uniform,0,omp_for,44,2.055425000
cpu,2,90,81920,uniform,0,omp_for,45,2.117126000
cpu,2,90,81920,uniform,0,omp_for,46,2.157375000
cpu,2,90,81920,uniform,0,omp_for,47,2.105156000
cpu,2,90,81920,uniform,0,omp_for,48,2.135216000
cpu,2,90,81920,uniform,0,omp_for,49,2.116806000
cpu,2,90,81920,uniform,0,omp_for,50,2.074584000
cpu,2,90,81920,uniform,0,omp_for,51,2.050545000
cpu,2,90,81920,uniform,0,omp_for,52,2.100855000
cpu,2,90,81920,uniform,0,omp_for,53,2.110464000
cpu,2,90,81920,uniform,0,omp_for,54,2.133365000
cpu,2,90,81920,uniform,0,omp_for,55,2.069775000
cpu,2,90,81920,uniform,0,omp_for,56,2.113375000
cpu,2,90,81920,uniform,0,omp_for,57,2.158225000
cpu,2,90,81920,uniform,0,omp_for,58,2.093575000
cpu,2,90,81920,uniform,0,omp_for,59,2.145026000
cpu,2,90,81920,uniform,0,omp_for,60,2.132826000
cpu,2,90,81920,uniform,0,omp_for,61,2.074576000
cpu,2,90,81920,uniform,0,omp_for,62,2.163236000
cpu,2,90,81920,uniform,0,omp_for,63,2.116605000
cpu,2,90,81920,uniform,0,omp_for,64,2.070774000
cpu,2,90,81920,uniform,0,omp_for,65,2.051275000
cpu,2,90,81920,uniform,0,omp_for,66,2.081955000
cpu,2,90,81920,uniform,0,omp_for,67,2.090345000
cpu,2,90,81920,uniform,0,omp_for,68,2.025014000
cpu,2,90,81920,uniform,0,omp_for,69,2.137066000
cpu,2,90,81920,uniform,0,omp_for,70,2.093675000
cpu,2,90,81920,uniform,0,omp_for,71,2.027414000
cpu,2,90,81920,uniform,0,omp_for,72,2.073875000
cpu,2,90,81920,uniform,0,omp_for,73,2.097335000
cpu,2,90,81920,uniform,0,omp_for,74,2.058965000
cpu,2,90,81920,uniform,0,omp_for,75,2.071485000
cpu,2,90,81920,uniform,0,omp_for,76,2.029865000
cpu,2,90,81920,uniform,0,omp_for,77,2.145216000
cpu,2,90,81920,uniform,0,omp_for,78,2.099646000
cpu,2,90,81920,uniform,0,omp_for,79,2.063475000
cpu,2,90,81920,uniform,0,omp_for,80,2.154966000
cpu,2,90,81920,uniform,0,omp_for,81,2.123976000
cpu,2,90,81920,uniform,0,omp_for,82,2.120415000
cpu,2,90,81920,uniform,0,omp_for,83,2.073565000
cpu,2,90,81920,uniform,0,omp_for,84,2.066445000
cpu,2,90,81920,uniform,0,omp_for,85,2.129335000
cpu,2,90,81920,uniform,0,omp_for,86,2.046555000
cpu,2,90,81920,uniform,0,omp_for,87,2.119426000
cpu,2,90,81920,uniform,0,omp_for,88,2.128466000
cpu,2,90,81920,uniform,0,omp_for,89,2.087845000
cpu,2,90,81920,uniform,0,omp_for,90,2.092785000
cpu,2,90,81920,uniform,0,omp_for,91,2.143455000
cpu,2,90,81920,uniform,0,omp_for,92,2.140825000
cpu,2,90,81920,uniform,0,omp_for,93,2.056295000
cpu,2,90,81920,uniform,0,omp_for,94,2.148376000
cpu,2,90,81920,uniform,0,omp_for,95,2.147926000
cpu,2,90,81920,uniform,0,omp_for,96,2.150086000
cpu,2,90,81920,uniform,0,omp_for,97,2.084446000
cpu,2,90,81920,uniform,0,omp_for,98,2.047125000
