layout,run,ms,gbps
AoSoA-64,25,1.541138,1393.44
AoSoA-64,26,1.528978,1404.52
AoSoA-64,27,1.509905,1422.26
AoSoA-64,28,1.606941,1336.38
AoSoA-64,29,1.540899,1393.66
AoSoA-64,30,2.692938,797.45
AoSoA-64,31,1.523972,1409.14
AoSoA-64,32,7.489204,286.74
AoSoA-64,33,1.580954,1358.35
AoSoA-64,34,1.587868,1352.43
AoSoA-64,35,1.545906,1389.14
AoSoA-64,36,1.563072,1373.89
AoSoA-64,37,1.587152,1353.04
AoSoA-64,38,1.559973,1376.62
AoSoA-64,39,1.540899,1393.66
AoSoA-64,40,1.550913,1384.66
AoSoA-64,41,2.533913,847.50
AoSoA-64,42,1.523018,1410.02
AoSoA-64,43,1.590014,1350.61
AoSoA-64,44,1.564980,1372.21
AoSoA-64,45,1.545906,1389.14
AoSoA-64,46,1.552820,1382.96
AoSoA-64,47,4.137039,519.09
AoSoA-64,48,1.534939,1399.07
AoSoA-64,49,1.556158,1379.99
AoSoA-64,50,1.549959,1385.51
AoSoA-64,51,1.576900,1361.84
AoSoA-64,52,1.574993,1363.49
